;; -*- coding: utf-8 -*--
a-bi-guo-min-yin-hang 阿比国民银行
xin-tuo-qi 信托期
xin-tuo-sheng-ming 信托声明
xin-tuo-sheng-ming-shu 信托声明书
xin-tuo-tiao-kuan 信托条款
xin-tuo-tong-zhi 信托通知
xin-tuo-tou-zi 信托投资
xin-tuo-tou-zi-gong-si 信托投资公司
xin-tuo-wen-shu 信托文书
xin-tuo-xie-yi 信托协议
xin-tuo-ye 信托业
xin-tuo-yi-chan 信托遗产
xin-tuo-yi-zhu 信托遗嘱
xin-tuo-yin-hang 信托银行
xin-tuo-zhang-hu 信托账户
xin-tuo-zi-ben 信托资本
xin-tuo-zi-chan 信托资产
xin-wen-shou-lu-ji 新闻收录机
xin-xi-bu-dui-chen 信息不对称
xin-xi-bu-lu 信息补录
xin-xi-fa-bu-ren 信息发布人
xin-xi-fu-wu 信息服务
xin-xi-han-liang 信息含量
xin-xi-pi-lu 信息披露
xin-xi-pi-lu-gong-zuo 信息披露工作
xin-xi-pi-lu-nei-rong 信息披露内容
xin-xi-pi-lu-yi-wu 信息披露义务
xin-xi-pi-lu-zhi-du 信息披露制度
xin-xi-qu-dao 信息渠道
xin-xi-xiao-lv 信息效率
xin-xi-zao-bao 信息早报
xin-xin-na-ti-gu-piao-jiao-yi-suo 辛辛那提股票交易所
xin-xin-sang-shi 信心丧失
xin-xing-hang-ye-zhu-zhang 新兴行业主张
xin-xing-shi-chang 新兴市场
xin-xing-shi-chang-ji-jin 新兴市场基金
xin-yi-lun 新一轮
xin-ying-xiao 新营销
xin-yong-bai-dong-e 信用摆动额
xin-yong-bao-zheng-shu 信用保证书
xin-yong-bu-hao 信用不好
xin-yong-chuang-zao 信用创造
xin-yong-dai-kuan 信用贷款
xin-yong-dan-bao 信用担保
xin-yong-deng-ji 信用等级
xin-yong-diao-cha 信用调查
xin-yong-diao-cha-ji-gou 信用调查机构
xin-yong-diao-cha-ji-guan 信用调查机关
xin-yong-du 信用度
xin-yong-e-du 信用额度
xin-yong-feng-xian 信用风险
xin-yong-feng-xian-kong-zhi 信用风险控制
xin-yong-gong-ju 信用工具
xin-yong-ji-bie 信用级别
xin-yong-ji-fen 信用积分
xin-yong-ji-gao 信用极高
xin-yong-ji-lu 信用记录
xin-yong-jin-suo 信用紧缩
xin-yong-ka 信用卡
xin-yong-ka-ji-hua 信用卡计划
xin-yong-ka-shen-qing 信用卡申请
xin-yong-ka-tou-zhi 信用卡透支
xin-yong-ka-ye-wu 信用卡业务
xin-yong-ka-zheng-quan 信用卡证券
xin-yong-ke-kao-cheng-du 信用可靠程度
xin-yong-kong-zhi 信用控制
xin-yong-kong-zhi-ti-xi 信用控制体系
xin-yong-liang-hao 信用良好
xin-yong-peng-zhang 信用膨胀
xin-yong-ping-ji 信用评级
xin-yong-ping-ji-ji-gou 信用评级机构
xin-yong-ping-jia 信用评价
xin-yong-ping-jia-ti-xi 信用评价体系
xin-yong-shu-ju-ku 信用数据库
xin-yong-tiao-jian 信用条件
xin-yong-wei-ji 信用危机
xin-yong-xie-tong-zu-he 信用协同组合
xin-yong-xing-shi 信用形式
xin-yong-zhai-quan 信用债券
xin-yong-zheng 信用证
xin-yong-zheng-bao-dui-ye-wu 信用证保兑业务
xin-yong-zheng-fang-shi 信用证方式
xin-yong-zheng-jiao-yi 信用证交易
xin-yong-zheng-ye-wu 信用证业务
xin-yong-zhong-jie 信用中介
xin-yong-zhuang-kuang 信用状况
xin-yu-liang-hao 信誉良好
xin-yu-ru-he 信誉如何
xin-yuan-cai-jing 新元财经
xin-yuan-gu-piao 鑫源股票
xin-zeng-bu-liang-dai-kuan 新增不良贷款
xin-zeng-chan-neng 新增产能
xin-zeng-cun-kuan 新增存款
xin-zeng-dai-kuan 新增贷款
xin-zeng-fang-dai 新增房贷
xin-zeng-gu-ding-zi-chan 新增固定资产
xin-zheng-chu-tai 新政出台
xin-zi-jin 新资金
xing-cheng-guo-cheng 形成过程
xing-cheng-he-fa-zhan 形成和发展
xing-fu-shi-chang 幸福市场
xing-quan-bi-li 行权比例
xing-quan-gong-gao 行权公告
xing-quan-gu-piao-guo-hu-fei 行权股票过户费
xing-quan-jia 行权价
xing-quan-jia-ge 行权价格
xing-quan-qi-shi-ri 行权起始日
xing-quan-qing-suan 行权清算
xing-shi-jia 行使价
xing-shi-jia-ge 行使价格
xing-shi-qi 行使期
xing-shi-ren-gu-quan 行使认股权
xing-shi-yan-jun 形势严峻
xing-tai-zou-shi-tu 形态走势图
xing-wang-qi-ye 兴旺企业
xing-wei-li-lun 行为理论
xing-ye-ji-jin 兴业基金
xing-ye-ji-jin-guan-li-you-xian-gong-si 兴业基金管理有限公司
xing-ye-ka 兴业卡
xing-ye-ke-zhuan-zhai 兴业可转债
xing-ye-quan-qiu-shi-ye 兴业全球视野
xing-ye-yin-hang 兴业银行
xing-ye-zheng-quan 兴业证券
xing-zheng-cai-ding 行政裁定
xing-zheng-fa-jin 行政罚金
xing-zheng-fa-kuan 行政罚款
xing-zheng-guan-li 行政管理
xing-zheng-guan-li-dang-ju 行政管理当局
xing-zheng-guan-li-fei-yong 行政管理费用
xing-zheng-guan-li-kong-zhi 行政管理控制
xing-zheng-guan-li-kuai-ji 行政管理会计
xing-zheng-guan-li-yu-suan 行政管理预算
xiong-kan 熊侃
xiong-mao-zhai-quan 熊猫债券
xiong-shi 熊市
xiong-shi-cha-jia-tao-li 熊市差价套利
xiong-shi-ji-ya 熊市挤压
xiong-shi-jia-ji 熊市夹击
xiong-shi-kong-huang 熊市恐慌
xiong-shi-shou-gou 熊式收购
xiong-shi-xi-jie 熊式袭劫
xiong-ya-li-guo-jia-yin-hang 匈牙利国家银行
xiu-ding-yu-suan 修订预算
xiu-mian-he-huo-ren 休眠合伙人
xiu-mian-zhang-hu 休眠账户
xiu-zhen-cao-zong 袖珍操纵
xu-bao-zhu-ce-zi-ben 虚报注册资本
xu-gu-jiao-yi 虚股交易
xu-jia-fen-hong 虚假分红
xu-jia-gou-mai 虚假购买
xu-ni-huo-bi 虚拟货币
xu-ni-ka 虚拟卡
xu-ni-zi-ben 虚拟资本
xu-qiu-bu-zu 需求不足
xu-qiu-da-zeng 需求大增
xu-qiu-jia-ge 需求价格
xu-qiu-la-dong-tong-huo-peng-zhang 需求拉动通货膨胀
xu-qiu-shang-sheng 需求上升
xu-ri-yin-hang 旭日银行
xu-shi-zai-zhang 蓄势再涨
xu-yao-gou-tong 需要沟通
xu-yao-jin-xing 需要进行
xu-yao-ju-ji 需要聚集
xu-yao-kao-liang 需要考量
xu-yao-kao-lv 需要考虑
xu-yao-ti-gong 需要提供
xu-yao-tui-hui 需要退回
xu-yao-xie-tiao 需要协调
xu-yao-you 需要有
xu-yao-zhi-fu 需要支付
xu-yao-zi-jin 需要资金
xu-zhang 虚涨
xu-zu 虚租
xuan-bu-pi-zhun 宣布批准
xuan-bu-shang-tiao 宣布上调
xuan-chuan-fei-yong 宣传费用
xuan-gao-ri 宣告日
xuan-gu 选股
xuan-gu-biao-zhun 选股标准
xuan-gu-fang-fa 选股方法
xuan-gu-ji-qiao 选股技巧
xuan-gu-ruan-jian 选股软件
xuan-gu-si-lu 选股思路
xuan-gu-xin-xi 选股信息
xuan-shi-shu 宣誓书
xuan-ze-bi-zhong 选择币种
xuan-ze-ri 选择日
xuan-ze-tui-chu 选择退出
xuan-ze-xing-gu-li 选择性股利
xuan-zhun-shi-ji 选准时机
xue-jia 削价
xue-jia-ji-suan 削价计算
xue-jia-rong-zi 削价融资
xue-sheng-chuang-ye 学生创业
xue-sheng-dai-kuan-ying-xiao-gong-si 学生贷款营销公司
xue-sheng-xin-yong-ka 学生信用卡
xue-xi-guan-che 学习贯彻
xue-yu 血浴
xun-huan-jiao-yi 循环交易
xun-huan-xin-yong-e-du 循环信用额度
xun-qiu-jie-jue-fang-an 寻求解决方案
xun-qiu-qi-ta 寻求其他
xun-su-kuo-zhang 迅速扩张
xun-zhao-he-li 寻找合理
xun-zhao-ji-hui 寻找机会
xun-zhao-tou-zi-xiang-mu 寻找投资项目
ya-dao-geng-di 压到更低
ya-di 压低
ya-hu-cai-jing 雅虎财经
ya-hui 押汇
ya-jia 压价
ya-ke-kang-si-tuo-qi-quan 雅克康思托期权
ya-li-jiao-xiao 压力较小
ya-mai-jia-xie-ding 牙买加协定
ya-tai-gu-shi 亚太股市
ya-xin 亚信
ya-zhi-jia-ge 压制价格
ya-zhou-huo-bi 亚洲货币
ya-zhou-kai-fa-yin-hang 亚洲开发银行
ya-zhou-mei-yuan 亚洲美元
ya-zhou-mei-yuan-shi-chang 亚洲美元市场
ya-zhou-shang-ye-yin-hang 亚洲商业银行
ya-zhou-yin-hang 亚洲银行
ya-zhou-zheng-quan 亚洲证券
yan-bian-guo-cheng 演变过程
yan-chao-ji 验钞机
yan-chi-bao-jia 延迟报价
yan-chi-fu-kuan 延迟付款
yan-chi-huan-kuan 延迟还款
yan-chi-lv-xing 延迟履行
yan-fa-bu-men 研发部门
yan-fa-ren-yuan 研发人员
yan-ge-an-zhao 严格按照
yan-ge-kong-zhi 严格控制
yan-ge-ping-gu 严格评估
yan-jing-pi-jiu 燕京啤酒
yan-jiu 验旧
yan-jiu-bao-gao 研究报告
yan-jiu-cheng-ben 研究成本
yan-jiu-fei-yong 研究费用
yan-jiu-hang-ye 研究行业
yan-jiu-hou-que-ding 研究后确定
yan-jiu-jian-bao 研究简报
yan-jiu-neng-li 研究能力
yan-jiu-zhi-chi 研究支持
yan-jiu-zhong-dian 研究重点
yan-li-cha-chu 严厉查处
yan-qi-fu-kuan-piao-ju 延期付款票据
yan-qi-fu-kuan-yang-lao-jin 延期付款养老金
yan-qi-gun-dong 延期滚动
yan-qi-jiao-ge 延期交割
yan-qi-jiao-ge-he-tong 延期交割合同
yan-qi-jiao-ge-xiao-shou 延期交割销售
yan-qi-na-shui 延期纳税
yan-qi-shen-bao 延期申报
yan-qian-shang-pin 眼前商品
yan-shen 验审
yan-shen-kan-die-qi-quan 延伸看跌期权
yan-shen-yuan 验审员
yan-sheng-chan-pin 衍生产品
yan-sheng-chan-pin-ye-wu 衍生产品业务
yan-sheng-pin 衍生品
yan-sheng-pin-jiao-yi 衍生品交易
yan-sheng-quan-zheng 衍生权证
yan-sheng-zhong-qi-zhai-quan 衍生中期债券
yan-tai-wan-hua 烟台万华
yan-zhong-bei-tao 严重被套
yan-zhong-chao-gao 严重炒高
yan-zhong-chao-mai 严重超买
yan-zhong-chao-mai 严重超卖
yan-zhong-di-gu 严重低估
yan-zhong-di-mi 严重低迷
yan-zhong-gao-gu 严重高估
yan-zhong-kui-sun 严重亏损
yan-zhong-pian-li 严重偏离
yan-zhong-shi-shi 严重失实
yang-bai-wan 杨百万
yang-cheng-tong 羊城通
yang-hang-bei-fu-jin 央行备付金
yang-hang-dai-kuan 央行贷款
yang-hang-fa-bu 央行发布
yang-hang-piao-ju 央行票据
yang-hang-xuan-bu 央行宣布
yang-hong-ge 杨红革
yang-ji-zhai-quan 扬基债券
yang-lao-bao-xian 养老保险
yang-lao-bao-xian-ji-jin 养老保险基金
yang-lao-bao-xian-jin 养老保险金
yang-lao-ji-hua 养老计划
yang-lao-ji-jin 养老基金
yang-lao-xin-tuo 养老信托
yang-xian 阳线
yao-yao-ling-xian 遥遥领先
yao-you-xuan-ze-xing 要有选择性
yao-yuan-qi-quan 遥远期权
yao-yue-shou-gou 要约收购
yao-yue-zheng-quan 要约证券
yao-zhu-bu 要逐步
ye-ji-bu-jia 业绩不佳
ye-ji-ping-ping 业绩平平
ye-ji-shui-ping 业绩水平
ye-ji-yu-ce 业绩预测
ye-ji-yu-kui 业绩预亏
ye-ji-yu-qi 业绩预期
ye-ji-yu-zeng 业绩预增
ye-ji-yu-zeng-gong-gao 业绩预增公告
ye-ji-zeng-zhang 业绩增长
ye-jie-ren-ke 业界认可
ye-tao-wang 叶滔网
ye-wu-ban-kuai 业务板块
ye-wu-ban-li 业务办理
ye-wu-chuang-xin 业务创新
ye-wu-chuang-xin-neng-li 业务创新能力
ye-wu-fa-zhan 业务发展
ye-wu-fan-wei 业务范围
ye-wu-feng-xian 业务风险
ye-wu-fu-dan 业务负担
ye-wu-gang-wei 业务岗位
ye-wu-guan-xi 业务关系
ye-wu-gui-mo 业务规模
ye-wu-he-zuo 业务合作
ye-wu-he-zuo-guan-xi 业务合作关系
ye-wu-huan-jie 业务环节
ye-wu-ji-gou 业务机构
ye-wu-ji-zi-chan 业务及资产
ye-wu-jian-guan 业务监管
ye-wu-jiao-liu 业务交流
ye-wu-jing-li 业务经理
ye-wu-lei-xing 业务类型
ye-wu-lian-xi 业务联系
ye-wu-liu-cheng 业务流程
ye-wu-liu-shui-hao 业务流水号
ye-wu-shen-ji 业务审计
ye-wu-shen-qing-shu 业务申请书
ye-wu-shi-bai 业务失败
ye-wu-shi-dian 业务试点
ye-wu-shou-ru 业务收入
ye-wu-tiao-jian 业务条件
ye-wu-xian 业务线
ye-wu-you-shi 业务优势
ye-wu-zheng-he 业务整合
ye-wu-zhi-biao 业务指标
ye-wu-zhong-lei 业务种类
ye-wu-zi-fei 业务资费
ye-wu-zi-ge 业务资格
ye-wu-zi-xun 业务咨询
ye-wu-zi-xun-fu-wu 业务咨询服务
ye-wu-zong-shu 业务综述
ye-yu-tou-zi-zhe 业余投资者
yi-ban-bu-hui-chu-xian 一般不会出现
yi-ban-bu-neng 一般不能
yi-ban-chang-qi-zhai-quan 一般长期债券
yi-ban-fa-ren-gu 一般法人股
yi-ban-hui 一般会
yi-ban-jiao-cha 一般较差
yi-ban-liu-zhi-quan 一般留置权
yi-ban-san-hu 一般散户
yi-ban-tui-suan 一般推算
yi-ban-xin-yong-zheng 一般信用证
yi-ban-xuan-ze 一般选择
yi-ban-yi-wei-zhe 一般意味着
yi-ban-yu-suan 一般预算
yi-bang-tou-zi 益邦投资
yi-ben-tong 一本通
yi-chan-chu-li-shu 遗产处理书
yi-chan-shui 遗产税
yi-chan-shui-wen-shu 遗产税文书
yi-chang-cheng-ben 异常成本
yi-chang-huan-zhai-wu 已偿还债务
yi-chang-po-sun 异常破损
yi-chang-sun-hao 异常损耗
yi-chang-zi-jin-liu-ru 异常资金流入
yi-cheng-gu-fen 亿城股份
yi-chu 益处
yi-chu-ji-fa 一触即发
yi-ci-chu-shou 一次出售
yi-ci-chu-shou 一次出手
yi-ci-fu-qing-zhai-quan 一次付清债券
yi-ci-huan-kuan 一次还款
yi-ci-kao-yan 一次考验
yi-ci-xing-bu-chang 一次性补偿
yi-ci-xing-dai-kuan 一次性贷款
yi-ci-xing-fu-kuan 一次性付款
yi-ci-xing-fu-qing 一次性付清
yi-ci-xing-gao-zhi-shu 一次性告知书
yi-ci-xing-jiang-jin 一次性奖金
yi-ci-xing-jiang-li 一次性奖励
yi-ci-xing-jiao-na 一次性缴纳
yi-ci-xing-pei-chang 一次性赔偿
yi-ci-xing-shou-qu 一次性收取
yi-ci-xing-tou-ru 一次性投入
yi-ci-xing-zhi-ling 一次性指令
yi-ci-xing-zhun-bei 一次性准备
yi-da-guan 亿大关
yi-da-li-luo-ma-yin-hang 意大利罗马银行
yi-da-li-shang-ye-yin-hang 意大利商业银行
yi-da-li-xin-dai-yin-hang 意大利信贷银行
yi-da-li-yin-hang 意大利银行
yi-da-ping-jing 一大瓶颈
yi-dai-zhong-guo 易贷中国
yi-de-qi-huo 一德期货
yi-de-zheng-quan 一德证券
yi-deng-ji-de-chi-you-ren 已登记的持有人
yi-di-jia-zhi-xing 以底价执行
yi-di-xiao 以抵销
yi-die-hui 已跌回
yi-die-zhi 已跌至
yi-ding-fu-du 一定幅度
yi-ding-hui-you 一定会有
yi-ding-ying-li 一定盈利
yi-dong-gu 异动股
yi-dong-xian-xiang 异动现象
yi-du-zhong-cuo 一度重挫
yi-fa-she-li 依法设立
yi-fa-sheng-kui-sun 已发生亏损
yi-fa-xing-zheng-quan 已发行证券
yi-fa-zhu-xiao 依法注销
yi-fang-da 易方达
yi-fang-da-ji-jin 易方达基金
yi-fang-da-ji-jin-guan-li-you-xian-gong-si 易方达基金管理有限公司
yi-fen 亿份
yi-fu 议付
yi-fu-yin-hang 议付银行
yi-gai-qian-qi 一改前期
yi-gang-yuan-ji-suan 以港元计算
yi-ge-bai-fen-dian 一个百分点
yi-ge-kao-yan 一个考验
yi-ge-xian-du 一个限度
yi-ge-yue-shi-jian 一个月时间
yi-gu-di-zhai 以股抵债
yi-hui-zi-xun-wang 易汇资讯网
yi-huo-mao-yi 易货贸易
yi-huo-qu 以获取
yi-huo-ying-yu 已获盈余
yi-ji 易基
yi-ji-ce-lue-cheng-zhang 易基策略成长
yi-ji-ce-lue-er-hao 易基策略二号
yi-ji-du 一季度
yi-ji-du-mo 一季度末
yi-ji-ji-ji-cheng-zhang 易基积极成长
yi-ji-jia-zhi-cheng-zhang 易基价值成长
yi-ji-jia-zhi-jing-xuan 易基价值精选
yi-ji-jiao-yi-shi-chang 一级交易市场
yi-ji-shen 易基深
yi-ji-shi-chang 一级市场
yi-ji-tie-lu 一级铁路
yi-ji-yue-yue-shou-yi 易基月月收益
yi-ji-zhi-hang 一级支行
yi-jia 溢价
yi-jia-fa-xing 溢价发行
yi-jia-tan-xiao 溢价摊销
yi-jiao-bu-fen 已缴部分
yi-jiao-gu-ben 已缴股本
yi-jiao-huo 已交货
yi-jiao-kuan 溢缴款
yi-jiao-qing 已缴清
yi-jiao-ru 已缴入
yi-jiao-shui 已缴税
yi-jiao-shui-zheng-ming-shu 已缴税证明书
yi-jie-qing-zhang-hu 已结清账户
yi-jing-bu-cun-zai 已经不存在
yi-jing-bu-da 已经不大
yi-jing-bu-duo 已经不多
yi-jing-chao-guo 已经超过
yi-jing-cheng-li 已经成立
yi-jing-cheng-xian-chu 已经呈现出
yi-jing-chu-xian-guai-dian 已经出现拐点
yi-jing-dai-kuan 已经贷款
yi-jing-fa-xing 已经发行
yi-jing-fei-chang-da 已经非常大
yi-jing-fei-chang-di 已经非常低
yi-jing-fei-chang-duo 已经非常多
yi-jing-fei-chang-gao 已经非常高
yi-jing-fei-chang-kuai 已经非常快
yi-jing-fei-chang-qiang 已经非常强
yi-jing-huan-san 已经涣散
yi-jing-jie-shu 已经结束
yi-jing-kai-shi 已经开始
yi-jing-pi-lu 一经披露
yi-jing-pi-lu 已经披露
yi-jing-wan-cheng 已经完成
yi-jing-xing-cheng 已经形成
yi-jing-xuan-gao 已经宣告
yi-jing-zhi-fu 已经支付
yi-jing-zhuan-wei 已经转为
yi-jiu-huan-xin 以旧换新
yi-jiu-xu 已就绪
yi-ju-niu-zhuan 一举扭转
yi-ju-tu-po 一举突破
yi-lan-zi-di-ya 一揽子抵押
yi-lan-zi-huo-bi 一篮子货币
yi-lan-zi-jiao-yi 一揽子交易
yi-lan-zi-zheng-quan 一揽子证券
yi-lan-zi-zhong-cheng-bao-zheng 一揽子忠诚保证
yi-lian-xu 已连续
yi-liao-bao-jian 医疗保健
yi-liao-bao-xian 医疗保险
yi-liu-xin-tuo 遗留信托
yi-lu-tai-sheng 一路抬升
yi-lu-xia-die 一路下跌
yi-lu-xia-xing 一路下行
yi-lu-zhen-dang-xia-xing 一路震荡下行
yi-mai-guan-li-xue-xi-wang 易迈管理学习网
yi-mei-yuan 亿美元
yi-mei-yuan-ji-suan 以美元计算
yi-mei-yuan-zuo-you 亿美元左右
yi-min-chuang-xin-you-shi 益民创新优势
yi-min-hong-li-cheng-zhang 益民红利成长
yi-min-ji-jin 益民基金
yi-min-ji-jin-guan-li-you-xian-gong-si 益民基金管理有限公司
yi-nian-qi 一年期
yi-nian-qi-cun-kuan 一年期存款
yi-nian-qi-dai-kuan 一年期贷款
yi-nian-yi-shang 一年以上
yi-ou-yuan 亿欧元
yi-ou-yuan-ji-suan 以欧元计算
yi-pian-xiao-tiao 一片萧条
yi-piao-kong-shui 以票控税
yi-piao-mian-zhi-shu-hui 以票面值赎回
yi-qi-fa-cai-wang 一起发财网
yi-qi-huo-de 以期获得
yi-qi-xia-li 一汽夏利
yi-qian-wan-yuan 一千万元
yi-que-ding 已确定
yi-ran-huo-yue 依然活跃
yi-ran-jian-ting 依然坚挺
yi-ran-le-guan 依然乐观
yi-ran-pian-gao 依然偏高
yi-ran-yan-jun 依然严峻
yi-ren-min-bi-ji-suan 以人民币计算
yi-ri-yuan-ji-suan 以日元计算
yi-shang-shi 一上市
yi-shang-shi 已上市
yi-shi-zhi-wei-zhu 以市值为主
yi-shou-li 已受理
yi-shou-zi-liao 一手资料
yi-shu-mian 以书面
yi-shu-mian-huo-dian-zi-you-jian-de-xing-shi 以书面或电子邮件的形式
yi-shu-pin 艺术品
yi-shu-pin-tou-zi 艺术品投资
yi-shu-zhong-guo-wang 艺术中国网
yi-shui-kong-piao 以税控票
yi-si-lan-yin-hang 伊斯兰银行
yi-te-ding-jia-ge 以特定价格
yi-tiao-chang-yang 一条长阳
yi-tiao-da-yang-xian 一条大阳线
yi-tiao-da-yin-xian 一条大阴线
yi-tuo-zhan 以拓展
yi-wai-bao-xian 意外保险
yi-wai-fen-hong 意外分红
yi-wai-li-run 意外利润
yi-xi-lie 一系列
yi-xia-cai-liao 以下材料
yi-xia-jian-cheng 以下简称
yi-xia-shi-xiang 以下事项
yi-xia-tu-jing 以下途径
yi-xia-wen-ti 以下问题
yi-xiang-shu 意向书
yi-xiao-huo-wu-cheng-ben 已销货物成本
yi-xie-zhi-chi 一些支持
yi-xin-hai-jiu-zhai-quan 以新还旧债券
yi-yao-ban-kuai 医药板块
yi-yi-zhong-da 意义重大
yi-yin-qi 已引起
yi-yu-ji-feng-xian 已预计风险
yi-yu-yuan 亿余元
yi-yuan-dai-kuan 亿元贷款
yi-yuan-shou-yi-zhai 医院收益债
yi-yun-yong-zi-ben 已运用资本
yi-zhang-hui 已涨回
yi-zhang-zhi 已涨至
yi-zhao-xian-xing-gui-ding 依照现行规定
yi-zhi-chu-yu 一直处于
yi-zhi-fu-zhai 已知负债
yi-zhi-gu-piao 一只股票
yi-zhi-huo-yue 一直活跃
yi-zhi-ting-pai 一直停牌
yi-zhi-tou-ji 抑制投机
yi-zhi-wei-chi-zai 一直维持在
yi-zhi-xing-yuan-ze 一致性原则
yi-zhong-chao-liu 一种潮流
yi-zhong-fa-guo-zheng-quan 一种法国证券
yi-zhong-xuan-ze 一种选择
yi-zhou-hang-qing 一周行情
yi-zhu-xin-tuo 遗嘱信托
yi-zhuan-shou-ru 已赚收入
yi-zui-hao-jia-mai-chu 以最好价卖出
yin-ben-wei-zhi 银本位制
yin-bi 银币
yin-cang-xin-tuo 隐藏信托
yin-cheng 银承
yin-ci-cheng-shou 因此承受
yin-ci-yu 因此与
yin-dai-shuang-fang 银贷双方
yin-die 阴跌
yin-fu-li-cai-wang 银富理财网
yin-gen-jin-suo 银根紧缩
yin-han-bo-dong-lv 隐含波动率
yin-han-shu-hui 隐含赎回
yin-hang-an-jian 银行案件
yin-hang-an-jie 银行按揭
yin-hang-an-quan 银行安全
yin-hang-bao-han 银行保函
yin-hang-bao-xian-ji-jin 银行保险基金
yin-hang-ben-piao 银行本票
yin-hang-bu 银行部
yin-hang-cheng-dan-feng-xian 银行承担风险
yin-hang-cheng-dui 银行承兑
yin-hang-cheng-dui-hui-piao 银行承兑汇票
yin-hang-cheng-nuo 银行承诺
yin-hang-chi-gu-gong-si 银行持股公司
yin-hang-chi-you-gu-fen 银行持有股份
yin-hang-cun-kuan 银行存款
yin-hang-cun-kuan-li-lv 银行存款利率
yin-hang-dai-kou 银行代扣
yin-hang-dai-kou-xie-yi 银行代扣协议
yin-hang-dai-kuan 银行贷款
yin-hang-dai-kuan-li-lv 银行贷款利率
yin-hang-dan-bao-shu 银行担保书
yin-hang-dan-bao-zhai-quan-ji-jin 银行担保债券基金
yin-hang-ding-qi-dai-kuan 银行定期贷款
yin-hang-fang-dai 银行放贷
yin-hang-fang-mian 银行方面
yin-hang-fei-yong 银行费用
yin-hang-fu-wu 银行服务
yin-hang-fu-zhai 银行负债
yin-hang-gao-guan 银行高管
yin-hang-gong-zuo 银行工作
yin-hang-guan-li 银行管理
yin-hang-hang-zhang 银行行长
yin-hang-hei-ming-dan 银行黑名单
yin-hang-ji-dui 银行挤兑
yin-hang-ji-gou 银行机构
yin-hang-ji-gou-shu 银行机构数
yin-hang-ji-jin 银行基金
yin-hang-ji-lu 银行记录
yin-hang-ji-ti 银行挤提
yin-hang-ji-tuan 银行集团
yin-hang-jia 银行家
yin-hang-jian 银行间
yin-hang-jian-guan 银行监管
yin-hang-jian-shi-chang 银行间市场
yin-hang-jian-wang-luo 银行间网络
yin-hang-jian-zhai-quan-shi-chang 银行间债券市场
yin-hang-jie 银行界
yin-hang-jie-dai 银行借贷
yin-hang-ka 银行卡
yin-hang-ka-hao 银行卡号
yin-hang-ka-zha-pian 银行卡诈骗
yin-hang-ka-zi-jin 银行卡资金
yin-hang-kai-zheng 银行开证
yin-hang-ke-hu 银行客户
yin-hang-ke-tou-zi-zheng-quan 银行可投资证券
yin-hang-kong-gu-gong-si 银行控股公司
yin-hang-kou-kuan 银行扣款
yin-hang-li-cai-chan-pin 银行理财产品
yin-hang-li-lv 银行利率
yin-hang-li-xi 银行利息
yin-hang-ling-yu 银行领域
yin-hang-ming-cheng 银行名称
yin-hang-ming-dan 银行名单
yin-hang-nei-bu 银行内部
yin-hang-nei-hui-kuan 银行内汇款
yin-hang-qu-dao 银行渠道
yin-hang-quan 银行券
yin-hang-ti-xi 银行体系
yin-hang-tong-ye-chai-jie-li-lv 银行同业拆借利率
yin-hang-wang-dian 银行网点
yin-hang-xi-tong 银行系统
yin-hang-xin-di-jia 银行辛迪加
yin-hang-xin-tuo-bu 银行信托部
yin-hang-xin-yong-e-du 银行信用额度
yin-hang-xue 银行学
yin-hang-ye-jin-rong-ji-gou 银行业金融机构
yin-hang-ye-wu 银行业务
yin-hang-zheng-quan 银行证券
yin-hang-zhi-liang 银行质量
yin-hang-zhuan-yong 银行专用
yin-hang-zhuan-zhang 银行转账
yin-hang-zi-chan 银行资产
yin-hang-zi-jin-rong-tong 银行资金融通
yin-he-ji-jin 银河基金
yin-he-ji-jin-guan-li-you-xian-gong-si 银河基金管理有限公司
yin-he-qi-huo 银河期货
yin-he-yin-xin-tian-li 银河银信添利
yin-he-zheng-quan 银河证券
yin-he-zhi-xing-zheng-quan 银河之星证券
yin-hua-bao-ben-zeng-zhi 银华保本增值
yin-hua-dao-qiong-si 银华道琼斯
yin-hua-ji-jin 银华基金
yin-hua-ji-jin-guan-li-you-xian-gong-si 银华基金管理有限公司
yin-hua-shui 印花税
yin-hua-shui-shang-tiao 印花税上调
yin-hua-tou-zi 银华投资
yin-hua-you-shi-qi-ye 银华优势企业
yin-hua-you-xuan-gu-piao 银华优选股票
yin-hua-you-zhi-zeng-zhang 银华优质增长
yin-jian-hui 银监会
yin-jian-ju 银监局
yin-lian 银联
yin-lv-wang 银率网
yin-man-xiao-xi 隐瞒消息
yin-man-ye-ji 隐瞒业绩
yin-shen-bo-fu 引伸波幅
yin-shen-bo-fu 引申波幅
yin-sheng-su-song 引生诉讼
yin-si-gou-hui 因私购汇
yin-si-shou-hui 因私售汇
yin-su-jiao-duo 因素较多
yin-tai-li-cai-fen-hong 银泰理财分红
yin-tuan-dai-kuan 银团贷款
yin-tuan-yin-hang 银团银行
yin-wang-he-zuo 银网合作
yin-xian 阴线
yin-xiao-xi 因消息
yin-xiao-xi-yu-qi-zao-cheng-de-shi-chang-bo-dong 因消息预期造成的市场波动
yin-yi-wai-shi-gu 因意外事故
yin-you-he-zhuan-yi 引诱和转移
yin-zhang-yin-mo 印章印模
yin-zheng-tong 银证通
yin-zheng-zhuan-zhang 银证转账
yin-zhi 银质
