;; -*- coding: utf-8 -*--
a-di-ma 阿蒂玛
yun-tong-ling-yang 运通羚羊
yun-yan-wu-hao 云燕五号
za-wu-xiang 杂物箱
zai-zhong-xi-lie 载重系列
zeng-ya-qi 增压器
zhang-jin-lun 涨紧轮
zhang-jin-tao-tong 涨紧套筒
zhang-jin-xiao 胀紧销
zhang-zha 涨闸
zhe-die-kao-bei-jiao-lian 折叠靠背铰链
zhe-die-shi-zi-dong-men-zhuang-zhi 折叠式自动门装置
zhe-shi-kuang 遮饰框
zhe-yang-ban 遮阳板
zhe-yang-ban-san-dian-shi-an-quan-dai 遮阳板三点式安全带
zhen-duan-cha-tou 诊断插头
zhen-kong-guan-zhen-kong-guan 真空罐真空管
zhen-pi-fan-xin 真皮翻新
zheng-che-che-lun-wai-qing-jiao 整车车轮外倾角
zheng-che-ji-ling-bu-jian 整车及零部件
zheng-che-ji-quan-che-jian 整车及全车件
zheng-che-zhu-xue-hou-qing-jiao 整车主削后倾角
zheng-che-zhuang-bei-zhi-liang 整车装备质量
zheng-fa-xiang 蒸发箱
zheng-fu-zuo-yi 正付座椅
zheng-shi-pi-dai-zhang-jin-lun 正时皮带涨紧轮
zheng-shi-pi-dai-zhang-jin-qi 正时皮带涨紧器
zheng-shi-shi-chi-lun 正时室齿轮
zheng-shi-yi 正时仪
zheng-zhou-ri-chan 郑州日产
zhi-cao-pen-bo-che 植草喷播车
zhi-cheng-gan-zong-cheng 支撑杆总成
zhi-cheng-xiao 支撑销
zhi-dong-bi-tiao-zheng-bi-luo 制动臂调整臂螺
zhi-dong-deng-kai-guan 制动灯开关
zhi-dong-fang-bao-si 制动防抱死
zhi-dong-fen-beng 制动分泵
zhi-dong-fen-beng-gang-jing 制动分泵缸径
zhi-dong-fen-beng-xing-cheng 制动分泵行程
zhi-dong-gu 制动鼓
zhi-dong-gun-lun 制动滚轮
zhi-dong-jian-yan-tai 制动检验台
zhi-dong-la-suo 制动拉索
zhi-dong-li 制动力
zhi-dong-pan 制动盘
zhi-dong-pan-gai-ban 制动盘盖板
zhi-dong-qi-ya-zhi-shi-deng 制动器压指示灯
zhi-dong-qi-zong-cheng 制动器总成
zhi-dong-qian 制动钳
zhi-dong-qian-xiu-li-bao 制动钳修理包
zhi-dong-ruan-guan 制动软管
zhi-dong-ruan-guan-jia 制动软管夹
zhi-dong-shou-bing 制动手柄
zhi-dong-ta-ban 制动踏板
zhi-dong-ta-ban-zong-cheng 制动踏板总成
zhi-dong-ti-hui-wei-huang 制动蹄回位簧
zhi-dong-ti-pian 制动蹄片
zhi-dong-ti-xiao-chen-tao 制动蹄销衬套
zhi-dong-ti-xiao-xian-wei-ban 制动蹄销限位板
zhi-dong-ti-xiao-zhou 制动蹄销轴
zhi-dong-ti-zhi-xiao 制动蹄支销
zhi-dong-tiao-zheng-bi 制动调整臂
zhi-dong-tu-lun-zhi-jia 制动凸轮支架
zhi-dong-xi-tong 制动系统
zhi-dong-ye 制动液
zhi-dong-yi 制动仪
zhi-dong-ying-guan 制动硬管
zhi-dong-ying-guan-jia 制动硬管夹
zhi-dong-you-bei 制动油杯
zhi-dong-zhu-li-qi 制动助力器
zhi-dong-zong-beng-zhi-jia 制动总泵支架
zhi-la-gan-jie-tou-zong-cheng 直拉杆接头总成
zhi-pao 智跑
zhi-tui-dian-pian 止推垫片
zhi-tui-ka-huang 止退卡簧
zhi-tui-wa 止推瓦
zhi-zhu-zong-cheng 支柱总成
zhong-duan-dang-ban-jia-gu-jian 终端挡板加固件
zhong-guo-qi-che-wang 中国汽车网
zhong-jian-ban-ding-wei-kuai 中间板定位块
zhong-jian-tuo-jia 中间托架
zhong-jian-xiao-yin-qi 中间消音器
zhong-jian-zhou 中间轴
zhong-jian-zhou-chuan-dong-lun 中间轴传动轮
zhong-jian-zhou-dao-dang-lun 中间轴倒档轮
zhong-jian-zhou-er-dang-lun 中间轴二档轮
zhong-jian-zhou-qian-luo-mu 中间轴前螺母
zhong-jian-zhou-san-dang-lun 中间轴三档轮
zhong-jian-zhou-si-dang-lun 中间轴四档轮
zhong-jian-zhou-zhi-tui-dian-pian 中间轴止推垫片
zhong-jian-zhou-zhou-cheng-gai 中间轴轴承盖
zhong-leng-qi 中冷器
zhong-qi-hu-tong 中汽沪通
zhong-qi-ji-tuan 重汽集团
zhong-qiao-you-feng-zuo 中桥油封座
zhong-shun 中顺
zhong-tai 众泰
zhong-tai-ji-tuan 众泰集团
zhong-tong-ke-che 中通客车
zhong-wang 中网
zhong-wang-biao 中网标
zhong-wang-ge-shan 中网格栅
zhong-xin-zhao 中心罩
zhong-xin-zhao-ya-tiao 中心罩压条
zhong-yu-ke-che 中誉客车
zhong-zhi-fa-dong-ji 中置发动机
zhong-zhi-hu-zhao 中置护罩
zhong-zhi-yin-qing 中置引擎
zhong-zhou-hu-ban 中轴护板
zhong-zhou-hu-ban-you 中轴护板右
zhong-zhou-hu-ban-zuo 中轴护板左
zhong-zhou-you-hu-ban 中轴右护板
zhong-zhou-zuo-hu-ban 中轴左护板
zhou-cha-fa 轴差阀
zhou-cheng-chen-tao 轴承衬套
zhou-cheng-you-feng-gai 轴承油封盖
zhou-jian 轴间
zhou-jian-cha-su-qu-dong-qi 轴间差速驱动器
zhou-ju 轴距
zhou-yong-gang-si-dang-quan 轴用钢丝挡圈
zhu-bei-dong-chi-lun 主被动齿轮
zhu-che-zhi-dong-zhi-shi-deng 驻车制动指示灯
zhu-che-zhi-shi-deng 主车指示灯
zhu-chi 株齿
zhu-dong-shi-an-quan-tou-zhen 主动式安全头枕
zhu-fu-xiang-hu-suo-ban 主副箱互锁板
zhu-jian-su-bi 主减速比
zhu-jian-su-qi 主减速器
zhu-jian-su-qi-ke 主减速器壳
zhu-jian-su-qi-qiao-ti 主减速器壳体
zhu-jian-su-qi-zong-cheng 主减速器总成
zhu-li-beng 助力泵
zhu-li-gang-zhi-jia 助力缸支架
zhu-li-qi 助力器
zhu-li-zhuan-xiang-you 助力转向油
zhu-qi-nang 主气囊
zhu-qi-tong-fang-qi-fa 贮气筒放气阀
zhu-qi-tong-fang-shui-fa 贮气筒放水阀
zhu-zao-qiao 铸造桥
zhu-zhou-cheng-luo-shuan 主轴承螺栓
zhu-zhou-tiao-zheng-dian-pian-zu 主轴调整垫片组
zhu-zhou-wa 主轴瓦
zhuan-ju-bian-huan-qi 转矩变换器
zhuan-su-chuan-gan-qi 转速传感器
zhuan-wan-ban-jing 转弯半径
zhuan-xiang 转向
zhuan-xiang-chi-lun-beng 转向齿轮泵
zhuan-xiang-deng 转向灯
zhuan-xiang-deng-deng-pao 转向灯灯泡
zhuan-xiang-deng-kai-guan 转向灯开关
zhuan-xiang-deng-pao 转向灯泡
zhuan-xiang-deng-zhao 转向灯罩
zhuan-xiang-deng-zong-cheng 转向灯总成
zhuan-xiang-guan-zhu 转向管柱
zhuan-xiang-guan-zhu-zong-cheng 转向管柱总成
zhuan-xiang-heng-la-gan 转向横拉杆
zhuan-xiang-heng-la-gan-qiu-tou 转向横拉杆球头
zhuan-xiang-hua-jian-zhou 转向花键轴
zhuan-xiang-ji 转向机
zhuan-xiang-ji-fang-chen-tao 转向机防尘套
zhuan-xiang-jie 转向节
zhuan-xiang-jie-bi 转向节臂
zhuan-xiang-jie-chen-tao 转向节衬套
zhuan-xiang-jie-tiao-zheng-dian 转向节调整垫
zhuan-xiang-jie-xian-wei-luo-ding 转向节限位螺钉
zhuan-xiang-jie-xiao 转向节销
zhuan-xiang-jie-zhu-xiao 转向节主销
zhuan-xiang-kai-guan 转向开关
zhuan-xiang-la-gan-qiu-tou 转向拉杆球头
zhuan-xiang-la-gan-qiu-xiao 转向拉杆球销
zhuan-xiang-lun-ding-wei-yi 转向轮定位仪
zhuan-xiang-xi-tong 转向系统
zhuan-xiang-xian-wei-fa 转向限位阀
zhuan-xiang-xiao-fang-chen-gai 转向销防尘盖
zhuan-xiang-you-guan 转向油罐
zhuan-xiang-you-wei-kai-guan 转向油位开关
zhuan-xiang-you-wei-zhi-shi-deng 转向油位指示灯
zhuan-xiang-zhi-la-gan 转向直拉杆
zhuan-xiang-zhou-zong-cheng 转向轴总成
zhuan-xiang-zhu 转向柱
zhuan-xiang-zhu-li-beng 转向助力泵
zhuan-xiang-zhu-li-beng-pi-dai 转向助力泵皮带
zhuan-xiang-zhu-li-beng-pi-dai-lun 转向助力泵皮带轮
zhuan-xiang-zhu-li-beng-you-bei 转向助力泵油杯
zhuan-xiang-zhu-li-gang 转向助力缸
zhuan-xiang-zhu-li-you-leng-que-guan 转向助力油冷却管
zhuang-huang-yong-pin 装潢用品
zhui-feng-lun 追风轮
zhui-xing-tao 锥形套
zhuo-yi-kong-zhi-dan-yuan 桌椅控制单元
zhuo-yi-tiao-jie-dian-ji 桌椅调节电机
zi-bu-ye 自补液
zi-dong-bian-su-xiang 自动变速箱
zi-dong-bian-su-xiang-you 自动变速箱油
zi-dong-pai-shui-tiao-ya-qi 自动排水调压器
zi-dong-zhi-dong-cha-su-qi 自动制动差速器
zi-jia-you 自驾游
zi-pai-che-yong-lv-you-qi 自排车用滤油器
zi-suo-luo-mu 自锁螺母
zi-suo-suo-xiao 自锁锁销
zi-suo-xiao-zhou 自锁销轴
zong-cheng 总成
zong-cheng-diao-zhuang-she-bei 总成吊装设备
zong-liang-jia-gu-jian 纵梁加固件
zong-xiang-tui-li-gan 纵向推力杆
zu-he-huan 组合环
zu-he-kai-guan 组合开关
zu-he-yi-biao 组合仪表
zu-kang-zhi-zuo 阻抗支座
zu-ni-pei-zhong 阻尼配重
zuan-bao 钻豹
zuan-bao-ta-ban 钻豹踏板
zui-da-pa-po-du 最大爬坡度
zui-da-zhou-zai-zhi-liang 最大轴载质量
zui-da-zhuang-zai-zhi-liang 最大装载质量
zui-da-zong-zhi-liang 最大总质量
zui-gao-che-su 最高车速
zui-xiao-li-di-jian-xi 最小离地间隙
zui-xiao-zhuan-wan-zhi-jing 最小转弯直径
zuo-bian-tiao 左边条
zuo-che-ti-hu-ban 左车体护板
zuo-dian 座垫
zuo-fu-zhou-zong-cheng 左副轴总成
zuo-hou-men 左后门
zuo-hou-yi-zi-ban 左后翼子板
zuo-hu-ban 左护板
zuo-ping-cha-hu-ban 左平叉护板
zuo-qian-men 左前门
zuo-qian-ye-zi-ban 左前叶子板
zuo-tao 座套
zuo-tong 座桶
zuo-yi-dao-gui 座椅导轨
zuo-yi-dian 座椅垫
zuo-yi-heng-liang 座椅横梁
zuo-yi-huang 座椅簧
zuo-yi-ji-fu-jian 座椅及附件
zuo-yi-jia-re 座椅加热
zuo-yi-jian-zhen-qi 座椅减震器
zuo-yi-kao-bei 座椅靠背
zuo-yi-tiao-jie-kai-guan 座椅调节开关
zuo-yi-tiao-zheng-qi 座椅调整器
zuo-yi-zi-dong-tiao-jie-xi-tong 座椅自动调节系统
zuo-you-ce-gai 左右侧盖
zuo-zhuan-xiang 左转向
zuo-zhuan-xiang-kai-guan 左转向开关
